mmd_stat,p_value
-1.924972516224698893e-03,7.213930348258706937e-01
-3.510576125658193547e-04,4.477611940298507620e-01
-1.755980176377791580e-03,7.064676616915422924e-01
-7.818127472427605085e-04,5.820895522388059851e-01
-2.519242076384875517e-03,8.308457711442785998e-01
-9.407395324989575869e-04,6.417910447761193682e-01
-6.341962802989264958e-04,5.572139303482587236e-01
1.118691249197611981e-03,3.134328358208955390e-01
4.220057192037218741e-03,7.462686567164178442e-02
-8.032572066984933201e-05,5.074626865671642006e-01
1.751097411726521003e-03,2.487562189054726425e-01
-5.525269843940083803e-04,5.223880597014924909e-01
-4.209929689185099022e-03,9.900497512437811398e-01
-8.393326008437895780e-05,4.577114427860696777e-01
-2.089239314708501993e-03,7.562189054726368154e-01
3.847151683530114497e-03,7.960199004975124226e-02
2.913337448770203508e-03,1.641791044776119424e-01
3.725644357411850294e-03,7.960199004975124226e-02
-8.133548061013406993e-04,5.721393034825870139e-01
-1.269208973860402878e-03,6.915422885572138911e-01
-1.683000145432655970e-03,6.517412935323383394e-01
3.968966883891367203e-03,6.965174129353234045e-02
-1.399108311839203367e-03,7.263681592039801238e-01
-3.280911278820131116e-04,5.074626865671642006e-01
9.472727228423405421e-04,3.184079601990049690e-01
-2.002210255609426781e-04,4.179104477611940149e-01
-2.985331736069296582e-03,9.054726368159203842e-01
-5.842301149661111026e-05,3.930348258706467535e-01
6.581814779902384061e-04,3.880597014925373234e-01
-1.054602338361299019e-03,6.119402985074626766e-01
1.548702489548414718e-03,2.388059701492537268e-01
-1.630363049291982946e-03,6.965174129353234322e-01
7.967964056849297094e-03,9.950248756218905283e-03
-2.070191345117322612e-03,7.562189054726368154e-01
-1.351411522197309978e-03,7.114427860696517225e-01
-2.929509324611778709e-05,4.228855721393035005e-01
-3.274862666366118447e-03,9.253731343283582156e-01
-3.388590054544948771e-03,9.701492537313433084e-01
-2.743924481981352415e-03,8.805970149253731227e-01
1.269600154435446271e-03,2.587064676616915304e-01
-2.379017500306668254e-03,8.407960199004974600e-01
4.187377299905259420e-03,5.472636815920398079e-02
2.604540090851426015e-04,3.880597014925373234e-01
1.943477041834729135e-03,1.592039800995024845e-01
2.149010169078868770e-03,1.641791044776119424e-01
-1.300108776288277923e-03,6.467661691542289093e-01
3.025745304513494105e-03,1.741293532338308581e-01
-2.162800207087478555e-03,7.910447761194029370e-01
-2.850291451416131494e-03,8.557213930348258613e-01
-3.229703338077483110e-03,9.502487562189054771e-01
-1.574128217519454864e-03,7.114427860696517225e-01
6.468064224056657707e-04,3.333333333333333148e-01
-2.815034792464476965e-03,8.756218905472636926e-01
-2.380035751705200653e-03,8.557213930348258613e-01
-1.760672300887611286e-03,6.616915422885571996e-01
2.988730545064433031e-03,1.592039800995024845e-01
1.865528959264839415e-03,2.537313432835821003e-01
7.505845016366752276e-04,2.786069651741293618e-01
7.174080922656145276e-04,2.885572139303482775e-01
-1.419019312666858212e-03,6.069651741293532465e-01
-4.706600386730208641e-04,5.771144278606965550e-01
-1.454672074640006585e-03,6.616915422885571996e-01
7.535117547192715648e-04,3.134328358208955390e-01
7.906940075868007511e-04,3.034825870646766233e-01
4.954113734563225790e-03,6.965174129353234045e-02
-1.879539200038804481e-03,7.512437810945273853e-01
1.071088498641570297e-03,2.985074626865671377e-01
2.446864965401696068e-03,2.039800995024875496e-01
5.604156731521481305e-03,3.482587064676617022e-02
-3.039562636572012977e-03,9.004975124378109541e-01
5.822872879686080694e-04,3.930348258706467535e-01
1.136954100316334149e-03,2.487562189054726425e-01
-4.077532099587832803e-03,9.601990049751243372e-01
-8.537167213018559409e-04,5.771144278606965550e-01
-8.063272335332438701e-04,5.124378109452736307e-01
-2.553257674306363967e-03,8.606965174129352913e-01
-2.780621155069828987e-03,8.656716417910447214e-01
-1.119313715341796467e-03,5.920398009950248452e-01
-1.565602665918097713e-03,6.815920398009950310e-01
-2.997096886373062929e-03,8.557213930348258613e-01
4.740786130621232886e-03,4.975124378109452988e-02
2.314354692884545983e-03,1.741293532338308581e-01
-3.552605680594789206e-03,9.353233830845770758e-01
-4.553276090473179494e-04,4.875621890547263693e-01
6.152186601202647154e-04,2.935323383084577076e-01
-2.377501354875466433e-03,8.308457711442785998e-01
-6.872883183490774428e-04,4.975124378109452850e-01
-3.343004063081300714e-03,9.253731343283582156e-01
2.625182510972656758e-03,1.741293532338308581e-01
3.201387325233451264e-04,3.830845771144278378e-01
2.819131787266115907e-04,4.527363184079601921e-01
1.979688973718696232e-03,2.437810945273631846e-01
